Название Вакансии,URL,Название компании,Описание
Python Developer (ML),https://vidnoe.hh.ru/vacancy/28570434?query=python,ООО Центр недвижимости от Сбербанка,"Реализация высоконагруженных сервисов на языке Python. Участие в проектировании архитектуры, выработке решений по отказоустойчивости и производительности. Разработка бэкэнда для сервисов... Опыт работы в области создания программного обеспечения в качестве разработчика от 2 лет. Опыт работы хотя бы с одним из..."
Junior IT specialist (Bash / Python),https://vidnoe.hh.ru/vacancy/33700826?query=python, Renaissance Capital,"Actively learn & participate in day-to-day activities of the Team! Wide range of interesting tasks in different areas, possibility... Knowledge of scripting skills - Linux / Bash + Python or data processing scripts are highly valued. WILL BE GREAT IF YOU..."
Backend разработчик (Python / Django),https://vidnoe.hh.ru/vacancy/34065181?query=python,ООО «СТРОЙУЧЕТСЕРВИС»,Модульное и интеграционное тестирование кода. Разработка backend части для сложного продукта. Разработка API. Умение оценивать задачи по времени и сложности... Python 3.6. Знание Django и Django REST framework. Понимание принципов асинхронного программирования и опыт работы с асинхронными библиотеками. 
Python-разработчик / Data Engineer,https://vidnoe.hh.ru/vacancy/34103918?query=python,ООО РАБЛЗ,"Поддержка data scientist’ов и аналитиков данных (также работают на Python) в разработческих задачах. Если будет хватать опыта — курирование/тимлидство. Опыт промышленной разработкой на python (сталкивался с pytest, CI/CD, git, метаклассами и др.). Опыт работы с различными хранилищами данных..."
Python разработчик,https://vidnoe.hh.ru/vacancy/33882446?query=python, Северсталь. Управляющая компания,"Разработка приложений для внедрения моделей машинного обучения. Тестирование разработанных приложений. Автоматизация задач, связанных с жизненным циклом приложений. Знание Python: работа с файлами, REST-сервисы, многопоточные приложения, логирование, тесты. Опыт коммерческой разработки на Python более 1 года. "
Python разработчик (Middle),https://vidnoe.hh.ru/vacancy/33906158?query=python,ООО B2Basket.ru,"Доработка текущих проектов. Участие в разработке новых проектов. Python/ Django (опыт коммерческой разработки от 2 лет!). Git. MySQL, MongoDB. Понимае принципов работы RestAPI. Покрытие кода тестами. "
Data Analyst/Computer Vision Engineer,https://vidnoe.hh.ru/vacancy/33787014?query=python,ООО СКАЙТРЭК,"Определение заблюренности изображений (blurred image classification). Улучшение существующих алгоритмов классификации изображений, детекции объектов на изображении, сегментации изображений и т.д.  ...библиотеки на Python. Опыт или навыки обучения алгоритмов ML (в большинстве своем нейронных сетей) применительно к изображениям. Владение Python в..."
Senior Python Developer,https://vidnoe.hh.ru/vacancy/32956875?query=python, Тинькофф,"Участие в развитии платформы для текстовых каналов коммуникации с клиентами. Включает в себя live-чат, мессенджеры (Telegram, WhatsApp, Viber, Slack... Отличное знание Python (2.7 и 3.). Опыт промышленной разработки на Python от трех лет. Опыт многопоточного программирования. "
Junior Python Developer,https://vidnoe.hh.ru/vacancy/33965018?query=python,ООО АКХ,Автоматизированные камеры хранения. Автоматизированные ключницы. Автоматизированные депозитные машины. Git/Linux. Python. PostgreSQL/SQLite. Flask + HTML5 (приветствуется PyQT). Нижний уровень. Верхний уровень. Опыт программирования на языке Python. 
Разработчик (Python),https://vidnoe.hh.ru/vacancy/33658553?query=python, СТЭП ЛОДЖИК (Step Logic),"Проектирование и разработка программного обеспечения на языке Python. Автоматизация рабочих процессов в среде Autodesk Revit при разработке инженерных систем.  Отличные знания Revit API. Отличное владение Dynamo + Python. (знание С#, VB приветствуется). Свободное владение Autodesk Revit, AutoCAD, Navisworks. "
"Стажёр(Анализ данных,data science)",https://vidnoe.hh.ru/vacancy/34061806?query=python,ООО САС Институт," Быть студентом 3-5 курса бакалавриата/специалитета, магистратуры либо недавним выпускником технической специальности. Знать хотя бы один язык программирования, разбираться..."
Computer Vision / Data scientist CV,https://vidnoe.hh.ru/vacancy/34070637?query=python,ООО АлгоМост,"Построение моделей для вычисления количественных показателей по изображениям. Построение моделей для детекции и сегментации на медицинских изображениях. Построение моделей диагностики... Знание языка Python и различных библиотек для машинного обучения (Scikit-learn, Pandas, Lightgbm, XGBoost, VowpalWabbit). Хорошие коммуникативные навыки, умение работать..."
Junior machine learning engineer,https://vidnoe.hh.ru/vacancy/33310553?query=python, Tech5," Высшее образование: предпочтительно - МГУ (ВМК, мехмат, физфак), МФТИ, ШАД, ВШЭ. Знание С++/Python (или любого другого языка программирования). "
"Python разработчик (Middle, Senior)",https://vidnoe.hh.ru/vacancy/34097821?query=python,ООО SailPlay,"Сервис аналитики. Сервис мотивации сотрудников. Весь код написан на Python, вся асинхронная обработка на Celery. API на Django.  Python, Celery. Большим плюсом будет знание Django. Знание SQL (у нас везде PostgreSQL). Git flow. Плюсом будет опыт работы с..."
Разработчик Python (Python 3+),https://vidnoe.hh.ru/vacancy/33636814?query=python, Diamond Personnel R&C,Участие в разработке и поддержке web проектов экосистемы Сбербанка. Уверенное владение Python 3+. Опыт разработки веб-приложений на Django/Flask. Работа со стэком RabbitMQ. Опыт создания REST API...
Pyth‎on Developer,https://vidnoe.hh.ru/vacancy/23282960?query=python, ЦИАН ГРУПП,"В старой части - монолите - Python 2.7 и Django (его последовательно переводим на SOA архитектуру, где критично - оптимизируем производительность).  Опыт коммерческой разработки на Python (Django\Tornado и т.д.) от 3 лет. Знание паттернов проектирования. Хорошее знание SQL. "
Python Developer (ML),https://vidnoe.hh.ru/vacancy/31415429?query=python, ЦИАН ГРУПП,"Рекомендательные сервисы. Ранжирование. Антифрод (автоматический контроль качества объявлений, обнаружение фейковых объявлений, ботов в масштабе всей страны, учитывая особенности каждого региона).  Опыт коммерческой разработки на Python от 3 лет. Знание паттернов проектирования. Понимание принципов ML. Знание очередей сообщений (Rabbit/Kafka). "
Python/Go Developer,https://vidnoe.hh.ru/vacancy/31705088?query=python,ООО Центр недвижимости от Сбербанка,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... Бизнес-руководство, нацеленное на результат. Пробовали: Tornado/Django/Pyramid. Работали с Docker, раскатывали ansible, слышали про kubernetes. Имеют опыт работы..."
Программист Python,https://vidnoe.hh.ru/vacancy/33609338?query=python,ООО ВойсЛинк,"Разработка программного обеспечения встраиваемых систем под Linux и десктопных приложений под Windows. Проверка, поддержка собственного кода, написание сопроводительной документации. Опыт коммерческой разработки на Python от 2-х лет. Опыт работы с реляционными базами данных. Навыки администрирования, опыт разработки приложений..."
ГИС программист (back),https://vidnoe.hh.ru/vacancy/33897090?query=python, РеИнформ Инт.,Разработка модулей для QGIS. Высшее профильное образование. Наличие опыта разработки на Python. Опыт разработки ГИС приложений. Чтение технической документации на английском. Желательно (было бы...
Ведущий python-разработчик,https://vidnoe.hh.ru/vacancy/33867584?query=python, ASD Technologies,"Разработка бекендной части системы класса EFSS (Enterprise File Sync and Share): управление файлами в облаке, алгоритмы синхронизации, удаленный доступ.  Знание английского языка (письменный - обязательно, разговорный - желательно). Плюсом будет: Опыт работы с любыми Python фреймворками (Bottle, Django, Flask, Pyramid и..."
Deep Learning R&D Intern,https://vidnoe.hh.ru/vacancy/34090117?query=python, NVIDIA,Prototype experimental solutions with Python and modern DL frameworks. Write highly optimized cross-platform C++/CUDA code. Study and apply... Understanding of modern ML/DL algorithms and architectures. Knowledge of Python and a DL framework (Pytorch or TensorFlow). 
Программист Python,https://vidnoe.hh.ru/vacancy/34092318?query=python, Московский метрополитен,"Разработка API (работа с БД, мониторинг (Celery\Cron\аналоги) подключение\реализация модулей: распознавание речи, определение тональности текста, распознавание текста, группировка... Опыт работы python (3+, Django) разработчиком от 1,5 лет. Опыт написания SQL запросов. Опыт работы с Selenium. "
Старший программист Python,https://vidnoe.hh.ru/vacancy/32913880?query=python, Softline,"Необходимо расширение и доработка существующего движка чат-бота, написанного на Python и реализованного на микросервисный архитектуре в среде Linux.  Хорошие знания и навыки программирования на Python. Умение разбираться и создавать новые схемы баз данных. Желание и возможность самостоятельно разрабатывать..."
Программист Python,https://vidnoe.hh.ru/vacancy/33611133?query=python,ООО Альфред,"Развивать CRM системы компании. Заниматься регулярной оптимизацией процессов. Составлять аналитические отчеты. Взаимодействовать с отделами маркетинга и Client Service. Работает с Python от 3 лет: asyncio, tornado. Знает базы данных: реляционные и нереляционные (Postgres, SQLAlchemy, Mongodb, Elasticsearch). "
Аналитик данных / Data Scientist,https://vidnoe.hh.ru/vacancy/32377243?query=python, Открытые Технологии,"Анализ существующих бизнес и технологических процессов Заказчика. Формирование требований и моделирование процессов. Разработка предложений и рекомендаций по оптимизации процессов.  Опыт работы с библиотеками python для статистического анализа данных и машинного обучения: pandas, scikit-learn, numpy, scipy, statsmodels. "
Python разработчик (сервисы highload),https://vidnoe.hh.ru/vacancy/32088415?query=python, KamaGames Studio,"Поддержка и разработка систем доставки, обработки и загрузки больших данных. Поддержка и разработка REST и др. сервисов аналитики.  Знание принципов работы основных сетевых протоколов: TCP, HTTP. Знание принципов многопоточного программирования на Python. Отличное знание Git. Опыт работы и..."
Python backend developer,https://vidnoe.hh.ru/vacancy/33838840?query=python," AROUND, Группа компаний","Проектирование микросервисной архитектуры и доработка существующей. Создание аналитических сервисов, сервисов видеозахвата и REST API. Интеграция сервисов распознавания и детекции лиц... Хорошее знание Python 3.5+. Опыт работы с фреймворками aiohttp или Flask вместе с SQLALchemy. Опыт разработки бэкенда от..."
Senior Python server (backend) программист,https://vidnoe.hh.ru/vacancy/33818544?query=python,ООО БАРАНСЕЛИ ФИНАНС,"Написание API. API exchange и обработка данных. Разработка и оптимизация (server backend side) платежной системы (acquiring). Создание и оптимизация архитектуры.  От 5 лет разработки на Python. Уверенное знание среды, фреймворков и библиотек Python. Работа с GitLab, protobuff, итд.. "
