Название Вакансии,URL,Название компании,Описание
Frontend-разработчик (Angular),https://vidnoe.hh.ru/vacancy/33628189?query=python,ООО РАБЛЗ,"Разрабатывать красивый динамический Frontend для существующих продуктов кампании. Взаимодействовать с коллегами, обсуждать дизайн приложения, предлагать и внедрять технологические решения.  Опыт реализации отображения контента в виде stories. Опыт работы на Python/Java. Опыт работы с PostgreSQL, Oracle, MongoDB или другими..."
Разработчик персональных рекомендаций в Музыку,https://vidnoe.hh.ru/vacancy/32165405?query=python, Яндекс, Уверенное знание С++. Базовые знания Java и Python. Алгоритмическая подготовка. Базовое знание SQL. Интерес к машинному обучению и желание расти...
Инженер-гидродинамик,https://vidnoe.hh.ru/vacancy/34103414?query=python,ООО Инжиниринговый Центр МФТИ по трудноизвлекаемым полезным ископаемым,"Анализа и обработки полевых данных. Моделирования основных физических и технологических процессов. Сопровождения и оптимизации технологий. Опыт моделирования низкопроницаемых коллекторов, в том числе ТРИЗ. Знание языков программирования (VBA, Python, MATLAB, C++) для автоматизации некоторых действий."
Senior 3D Graphics Programmer,https://vidnoe.hh.ru/vacancy/33271802?query=python, Eagle Dynamics,Разрабатывать и поддерживать движок визуализации 3D карт. Разрабатывать и поддерживать инструменты для создания карт. Разрабатывать и поддерживать подсистемы карт... Опыт работы от 5 лет в сфере высокопроизводительной 3D-графики. Опыт и знания особенностей использования C++ при разработке высокопроизводительных...
Senior Python Web Developer (Django/Flask),https://vidnoe.hh.ru/vacancy/33667160?query=python, Ingram Micro,Writing Python 3 & 2 effective back-end code. Cooperating with the front-end developers in the process of developing API... Excellent Python knowledge – we use Python 3.6 and 2.7. Django/Flask framework experience. Asyncio and aiohttp experience. 
DevOps Specialist,https://vidnoe.hh.ru/vacancy/34096255?query=python," Агентство 21 век, КЦ","Международная компания – цифровой дистрибьютор видео-контента на основных цифровых платформах. Эксплуатация и развитие высоконагруженных проектов. Взаимодействие с командой разработки, DevOps... Опыт автоматизации рутинных процессов на скриптовых языках (shell/perl/python/etc). Требования: Опыт системного администрирования Linux от 2 лет. "
ML- аналитик,https://vidnoe.hh.ru/vacancy/34079583?query=python, DFS Math,"Разрабатывать и проверять гипотезы (придумывать фичи, проверять разные инструменты и т.п.). Подготавливать и предварительно обрабатывать данные. Работать в команде... Python. Уверенные знания библиотек для анализа данных (pandas, numpy, scipy, …) и ML (xgboost, catboost, lightgbm …). Опытом работы с ML фреймворками..."
Software Developer C#,https://vidnoe.hh.ru/vacancy/34104396?query=python, Лаборатория Касперского,"Улучшение и расширение существующих тестовых framework и автоматизированных тестов на С#. Создание общей стратегии тестирования одной или нескольких компонент и... Умение разбираться в чужом коде. Уверенное владение технологией WCF. Знание Python. Опыт работы с C++. Опыт автоматизированного тестирования, знание инструментов."
Системный администратор,https://vidnoe.hh.ru/vacancy/33677389?query=python, RedStone Capital,"Настройка и поддержание работоспособности сетевого оборудования, настройка маршрутизации, контроль и обеспечение бесперебойной работы серверов, сервисов и сетевых служб.  DHCP. HTTP, SSH, Telnet, и пр.). Знание языков bash/ruby/python/perl будет преимуществом. Опыт в закупках, бюджетировании и управлении..."
Руководитель отдела аналитики / BI,https://vidnoe.hh.ru/vacancy/32323250?query=python, Biglion,"Функционал: Поиск точек роста доходов компании с помощью анализа данных. Работа с командами продукта, маркетинга и разработки в рамках аналитических... ...protocol и Google Analytics API. Будет большим плюсом: Знание инструментов тестирования (VWO, Optimizely и т.д.). Знания R или Python."
Инженер по тестированию,https://vidnoe.hh.ru/vacancy/33691299?query=python,АО РТ Лабс,"Анализировать и валидировать требования. Выполнять Тест-дизайна. Выполнять функциональное тестирование (backend и frontend компонентов продукта). Выполнять интеграционное, системное, регрессионное тестирование.  Знание на уровне чтения языка программирования Java, Python или Groovy. Знакомство с сиcтемами контроля версий Git, Subversion (SVN). "
Системный администратор Linux,https://vidnoe.hh.ru/vacancy/33718212?query=python,ООО РДЛ-Телеком,"Администрировать парк физических и облачных Linux серверов. Администрировать сетевое оборудование коммутаторы, точки доступа. Писать и редактировать Docker и docker-compose... Опыт конфигурирование nginx, понимание работы rsync, VPN. Опыт работы с мониторингом Zabbix. Знание Python, Golang или других языков программирования. "
Руководитель проектов (BigData и использование матмоделей),https://vidnoe.hh.ru/vacancy/34102043?query=python,АО Газпромбанк,"Руководство проектами по подключению внешних и внутренних источников данных, необходимых для задач аналитического моделирования. Руководство программами проектами и реализацией задач... Визуализация сложных структур данных. Знание SAS (Base, Macro, EM, EG) / Python. Знания теории вероятностей и математической статистики. Знание SQL."
Senior Data Scientist,https://vidnoe.hh.ru/vacancy/34079685?query=python, Nicotech International,The team: Maximize the company’s BI investments. Mapping out Business Intelligence Strategies; and. Driving Advanced Analytics. The Analytics & Business... ...collective know how to: Strong programming experience and proficiency in Python. Excellent SQL knowledge. Experience of any popular Deep Learning...
Архитектор RPA решений,https://vidnoe.hh.ru/vacancy/34097780?query=python,ООО Новейшие Цифровые Технологии,"Разработка архитектуры сценария робота: Структуры решения. Технологий и инструментов, необходимых для реализации. Графика и последовательности разработки. Классификация и определение уровней... Методов и критериев приемки. Опыт: Знания: Языки программирования (.JS, .VBA, Python, C#). Иностранный язык: английский (уровень не ниже Intermediate). "
Аналитик,https://vidnoe.hh.ru/vacancy/33629916?query=python,ООО НТС,"Составлять простые и понятные дэшборды с помощью SQL. Проводить Ad-hoc исследования и расчеты. На основе данных выявлять потребности и... Опыт использования BI систем (Tableau, PowerBI, Qlik и тп). Умение читать код на других ЯП (Python, JS, R, GAS, VBA..."
Cyber Threat Intelligence Analyst with turkish language,https://vidnoe.hh.ru/vacancy/29321789?query=python, Group-IB,"Identifying and monitoring threats on the Internet resources using a specialized system. Analysis of identified threats, detection of major risks... Desire to develop in the field of analytics and information security. Knowledge of regular expressions. Knowledge of python."
Системный инженер DevOps,https://vidnoe.hh.ru/vacancy/30309489?query=python, KamaGames Studio,"Администрирование парка серверов(Amazon EC2, dedicated). Участие в разработке архитектуры приложений. Поддержание высокой доступности приложений. Поддержка регулярных деплоев.  Знание, как минимум, одного языка программирования, помимо bash (например, Python, Ruby, Perl). Английский язык на уровне понимания документации. "
Android developer,https://vidnoe.hh.ru/vacancy/32905474?query=python,ООО Центр недвижимости от Сбербанка,Развивать существующие Android приложения компании и разрабатывать новые. Разрабатывать сложный UI и UX. Разрабатывать и поддерживать SDK для внутренних и... Оптимизировать скорость работы приложения и его размер. Отлично разбираются в json/retrofit/gradle.
Вирусный аналитик / Реверс инженер,https://vidnoe.hh.ru/vacancy/33163469?query=python, Group-IB,"Исследование программ и эксплоитов, используемого киберпреступниками. Написание подробных технических отчетов по исследуемому ПО для предоставления клиентам. Аналитическая работа по совершенствованию... Опыт работы в Ida Pro, владение IDA Python, отладчике ring-3 (на ваш выбор). Знание ассемблера x86. Знание WinAPI. "
Java-разработчик Кинопоиска,https://vidnoe.hh.ru/vacancy/30887919?query=python, Яндекс,"Вы будете работать с высоконагруженными системами для сбора и обработки больших объёмов данных, кластеризации и классификации информации, автоматического обучения и... Плюсами будут: Опыт работы на PHP и Python. Знание регулярных выражений. Умение тестировать собственный код. Умение пользоваться поиском. "
DevOps/Linux-инженер,https://vidnoe.hh.ru/vacancy/33563753?query=python, КРОК,"Готовить и автоматизировать инфраструктуру под нужды проектов. Траблшутить и устранять проблемы. Участвовать в проработке и тестировании оптимальных решений на базе... Опыт работы со средствами управления конфигурациями (ansible/puppet). Умение писать сценарии автоматизации (bash/python), понимание языков разметки данных(xml, json..."
Системный администратор Linux,https://vidnoe.hh.ru/vacancy/33638776?query=python, NPBFX Limited,"Администрировать множество физических и виртуальных хостов с Linux и несколько хостов с Windows. Поддерживать работу серверных приложений в составе команды... Опыт работы с nginx, apache+php+mysql, apache tomcat. Администрирование приложений на java. Администрирование приложений на python. Английский на уровне чтения и..."
ML/DL engineer,https://vidnoe.hh.ru/vacancy/34070985?query=python, Beorg,"Область деятельности компании: эффективно распознаём документы и оцифровываем изображения в корпоративных бизнес-процессах, приближая цифровую экономику. - Разработка и обучение нейронных... Владение Python3. - Понимание принципов работы нейронных сетей: сверточных, рекурентных, механизма attеntion. - Опыт написания моделей на TensorFlow 1.х. - "
BI/ETL Аналитик,https://vidnoe.hh.ru/vacancy/33280200?query=python, Центр онлайн-обучения „Нетология-групп“,"Разработка аналитической платформы и инструментов. Аналитика и консалтинг для компаний группы. Развивать систему регулярной отчетности (мы используем Tableau, Redash, MetaBase).  Понимание принципов сквозной аналитики и устройства интернета. Python и опыт написания ETL-процессов. Опыт использования Tableau или другой BI-системы."
Senior C++ developer,https://vidnoe.hh.ru/vacancy/32260013?query=python,ООО Ростелеком Информационные Технологии,"Мы, РТК Информационные Технологии - дочерняя компания Ростелекома. Мы занимаемся реализацией сложных веб-проектов, полным циклом разработки продуктов интерактивного телевидения и... Широкий кругозор: знание Bash, Golang, скриптовых языков, таких как Python, Lua. Кодирование видео, понимание структуры видеопотоков на уровне двоичных данных..."
Технический писатель-аналитик,https://vidnoe.hh.ru/vacancy/34094955?query=python, Дизайн-центр цифровой микроэлектроники МГУ имени М.В. Ломоносова,"Подготовка исследовательских разделов научно-технических отчетов по работам проекта. Сравнение наших решений и их компонентов с конкурирующими продуктами CPU/GPU... Внимательность в части подготовки текстов, вижу неясное - разберусь и исправлю. Знание С/С++, Python на уровне ""вижу код, понимаю как..."
Руководитель группы автоматизированного тестирования,https://vidnoe.hh.ru/vacancy/34011232?query=python, Яндекс,"Построение стратегии автоматизации по всему проекту. Проработка тест-кейсов на всех уровнях приложения. Разработка фреймворка автоматизации или внедрение существующих в... Опыт разработки и уверенное знание языка программирования Python. Опыт работы с Selenium/Appium, Allure Report, или другими иструментами. "
Integration Testing Engineer,https://vidnoe.hh.ru/vacancy/32464393?query=python, OMD OM Group,"Выбор, развертывание и поддержка CI/CD. Написание интеграционных автотестов. Документирование связей и зависимостей сервисов. Участие в формировании workflow разработки и... Знание любого современного языка программирования. (Предпочтительно Python 3.). Хорошее знание среды Linux. Знание веб-технологий. Знакомство с основными технологическими стеками..."
Специалист по интернет-продвижению и веб-аналитике,https://vidnoe.hh.ru/vacancy/34093762?query=python, Skyeng,"Самостоятельно выясняете у заказчика, какую проблему он решает и какие данные ему для этого нужны. Минимальными средствами (таблицы, графики, фильтры... Разбираетесь в предметной области, изучаете терминологию и понимаете, как всё устроено. Имеете опыт практической работы с Google Analytics или аналогичными..."
Инженер-программист встраиваемого ПО /Embedded software developer,https://vidnoe.hh.ru/vacancy/33080398?query=python,ООО Т8,"Разработка и поддержка компонентов системы управления телекоммуникационным оборудованием. Интеграция своего и стороннего кода. Разработка методик тестирования и документации.  Опыт командной работы, включая поддержку чужого кода. Опыт использования Python 3 или готовность его изучить. Знания в области телекоммуникаций, опыт..."
Аналитик (риски),https://vidnoe.hh.ru/vacancy/32808236?query=python, Тинькофф,"Скоринговые модели. Модели прогнозирования доходности. Аналитика процессов. Строить вероятностные скоринговые модели. Выявлять закономерности в разнообразных источниках данных и извлекать из... ...вероятностей и математической статистики. Владение английским языком на уровне чтения профессиональной литературы. Приветствуется опыт работы с SQL, SAS, Python, Zeppelin."
Java developer (application security),https://vidnoe.hh.ru/vacancy/32583990?query=python, Свордфиш Секьюрити,"разработка продуктов в области безопасности приложений (AppSec). - доработка прототипа до состояния коммерческого продукта. - интеграция многих инструментов между собой через REST... ...myBatis (Hibernate), SQL, PostgreSQL (MySQL). Опционально: HTML5/CSS3, JavaScript (AngularJS, jQuery), micro-services architecture, Shell-scripts (bash), Python."
ML Engineer/Data scientist,https://vidnoe.hh.ru/vacancy/31464979?query=python, Samsung Research Center,"Research and implement ML algorithms to process C++ code. Research C++ code features extraction. Decide on the training set.  BA/BS in Applied Mathematics, Applied Statistics, Computer Science or similar. 3 years of practical experience with common Neural Network..."
Deep Learning / Image processing Engineer,https://vidnoe.hh.ru/vacancy/32728188?query=python, Samsung Research Center,"Be a part of a team of machine learning, image processing and computer vision experts. Development of advanced image processing... Basic knowledge of Image Processing, Computer Vision algorithms. Knowledge of Python. Knowledge of one or more ML platforms (Torch, TensorFlow..."
Специалист Oracle BI,https://vidnoe.hh.ru/vacancy/33722313?query=python,ООО ГЕТСИЭРЭМ,Написание ETL для загрузки данных в базу. Создание отчетов Oracle Business Intelligence. Навыки проектирования баз данных и хорошее знание PL/SQL или T-SQL (опыт работы не менее 2 лет). 
Junior С/С++ developer,https://vidnoe.hh.ru/vacancy/33975758?query=python, Parallels,"Research and investigate internals of operating systems and existing applications. ∙ Work on innovative Parallels Desktop project and create best world... Experience in building multi-threaded applications. ∙ Experience in system and/or low level programming. ∙ Familiar with Assembler, Python. ∙ "
DevOps инженер,https://vidnoe.hh.ru/vacancy/33717193?query=python,АО РТ Лабс,"Участвовать в проектировании и разработке высоконагруженных сервисов. Искать узкие места в работе сервисов. Устанавливать приложения, настраивать и администрировать dev/test... Разбирать java thread & heap dump. Автоматизировать процессы с помощью bash, ansible, python. Разворачивать, настраивать Apache Tomcat. Разворачивать, настраивать ActiveMQ, Kafka. "
Системный архитектор (IIoT),https://vidnoe.hh.ru/vacancy/32039112?query=python, GE (General Electric Company),"Обсуждает с заказчиком решение его проблем, собирает нефункциональные требования к системе, разрабатывает архитектурную концепцию. Разрабатывает PoC ключевых технических сценариев взаимодействия... Опыт в построении и масштабировании сложных систем потоковой обработки данных со стеком Spark, Python, Apache Kafka, PostgreSQL или другой SQL..."
Программист квестов в реальности,https://vidnoe.hh.ru/vacancy/33948878?query=python,ООО Индеструм,"Разработка скетчей для платформы Arduino. Разработка скриптов для платформы RaspberryPi. Проведение испытаний и отладка загадок для квестов в реальности. Знание Python / С / C++. Опыт работы с платформами Arduino, Raspberry. Опыт работы с git. Способности к монтажу и пайке приветствуется."
Главный аналитик/BI Analyst,https://vidnoe.hh.ru/vacancy/34075516?query=python, Uchi.ru,Развивать хранилище данных на базе ClickHouse и механизмы процессинга данных в команде с дата-инженерами. Разрабатывать и оптимизировать витрины данных... Опыт работы с большим объемом данных в различных СУБД. Базовое знание математической статистики. Python и опыт разработки ETL-процессов (airflow...
PHP-разработчик,https://vidnoe.hh.ru/vacancy/32717065?query=python, Финансовый университет при Правительстве РФ,"Поддержка и сопровождение информационных систем на базе веб технологий. Доработка и модификация отчетных и печатных форм, разработка новых.  Английский язык - чтение технической документации. Опыт разработки веб-сервисов на PHP, PYTHON и HTML5 без применения фреймворков (знание фреймворков..."
Веб-программист (Junior),https://vidnoe.hh.ru/vacancy/25474707?query=python, Группа компаний «Триумф»,"Разработка SPA/Electron приложений. Программирование подсистем для проектирования и визуализации товаров. Разработка компонентов для визуального построения логики, редактора материалов, диаграмм... Опыт программирования 3D-графики (WebGL / Three.js или аналоги, OpenGL, OpenCL). Знание Python (Tornado, Django), баз данных (SQLite, MySQL, PostgreSQL..."
Software Engineer (Toolchain development),https://vidnoe.hh.ru/vacancy/33867032?query=python, Samsung Research Center,"Research, develop or enhance new features in various toolchain components (GCC, LLVM, Binutils, Glibc). Develop and integrate new features into... Strong knowledge of programming languages (C/C++, Bash, Python, Perl). Experience with standard GNU/Linux environment (shells, autotools, GNU Make..."
Руководитель группы аналитической отчетности,https://vidnoe.hh.ru/vacancy/32973206?query=python, ПАПА ДЖОНС,"Анализ и классификация отчетов в текущих IT-системах. Проведение встреч с пользователями для определения требований к отчетам и расстановки приоритетов... Уверенная работа с ETL и BI инструментами. Желательно знание Python. Личные качества: стратегическое мышление, аналитическое мышление, внимательность, инициативность, умение работать..."
Специалист по маркетингу (CRM),https://vidnoe.hh.ru/vacancy/33674536?query=python, Авито,"Проработать и запустить эксперименты с помощью внутренней CRM. Плотно взаимодействовать с продуктовой командой, дизайнером, редактором, инженерами. По итогам анализа кампаний... ...что работает, а что нет. Делали CRM-маркетинг для работных сайтов. Пришли в рассылки из аналитики. Имеете опыт с Python."
Специалист по проведению тестов на проникновение/анализу защищенности,https://vidnoe.hh.ru/vacancy/34043961?query=python, Group-IB,"Анализ защищенности веб-приложений (с анализом исходных кодов, без исходных кодов). Участие в проведении тестов на проникновение. Оформление результатов своей... Опыт работы специалистом по анализу защищенности/пентестером. Опыт поиска уязвимостей, основные скриптовые языки: PHP, Java, Python, Ruby, Perl."
Руководитель сектора скоринга \ Team leader (скоринг),https://vidnoe.hh.ru/vacancy/34102479?query=python," ОТП Банк, АО (OTP bank)","Построение и мониторинг моделей используемых в принятии решений: скоркарты, NCL, APC. Прогнозирование основных риск-показателей с помощью NCL моделей.  Знания, умения и навыки: Опыт моделирования. Математическая статистика. Data Mining: SAS, python (statsmodels / sklearn). SQL. Знание английского языка (не ниже..."
Системный администратор Windows,https://vidnoe.hh.ru/vacancy/33006305?query=python, Группа компаний ПИК,"Обеспечение непрерывной работы существующих в компании сервисов и систем. Протоколы защищенной передачи данных. Опыт разработки скриптов на powershell, vbs, Python или других подходящих для этого языках. Наличие сертификатов Microsoft..."
QA Auto developer (Verticals),https://vidnoe.hh.ru/vacancy/31805877?query=python, Авито,"обеспечивать качество продукта на всех этапах разработки, от постановки задачи до выкатки в production. - внедрять лучшие практики контроля и обеспечения... уверенно пишете код на одном из языков: Kotlin, PHP, Go, Python, Java. - имеете опыт поддержки и разработки инфраструктуры автоматизированного тестирования. - "
Инженер по кибербезопасности,https://vidnoe.hh.ru/vacancy/33367213?query=python,ООО Центр недвижимости от Сбербанка,"Понимающее IT-руководство. Например, у нас есть квота 1 день в неделю на борьбу с тех. долгом/саморазвитие/рисеч/решение... ...том числе процесса администрирования kubernetes кластера, обеспечения безопасности. Глубокое знание Docker, обеспечения безопасности. Знание и применение в работе Python/C++."
Старший инженер Devops,https://vidnoe.hh.ru/vacancy/32870927?query=python, Банк Хоум Кредит,"Автоматизация обслуживания тестовых стендов. Разработка прикладного кода на Oracle PL\SQL. Разработка прикладного кода на Groovy, Python для процессов CI... Уверенные знания Oracle SQL, PL/SQL. Умение самостоятельно разобраться в чужом коде (PL/SQL, Java). Понимание процессов тестирования ПО."
Data Engineer,https://vidnoe.hh.ru/vacancy/34067381?query=python,ЗАО Группа компаний С7,"Поддержание кластера Hadoop в боевом состоянии совместно с DevOps. Разработка, в основном, ведется на Python/Scala, но не чураемся и... Крайне желательно умение работать с потоками данных: Kafka, Spark Streaming, Flink. - Отличные знания SQL и его диалектов, опыт работы с..."
Главный аналитик данных/Разработчик DWH,https://vidnoe.hh.ru/vacancy/33638996?query=python, MedPoint24,"Построение и развитие системы регулярной отчетности компании. Разработка механизмов ETL для OLTP систем и управление процессами первоначальной синхронизации данных.  SQL, REST, PostgreSQL, желателен python. Опыт проектирования DWH. Участие в запуске и знание хотя бы одной BI. Английский технический – для..."
Продуктовый аналитик в команду мобильного банка,https://vidnoe.hh.ru/vacancy/33752387?query=python, Тинькофф,"Работа с аналитическими платформами:Amplitude, Appsflyer, Firebase, Google Analytics. Постановка задач на интеграцию трека новых экранов/событий. Сбор требований аналитиков... Высшее техническое образование. Отличное знание SQL, Python и Amplitude. Высокие коммуникативные способности."
E-commerce Senior Analyst,https://vidnoe.hh.ru/vacancy/33636871?query=python, AVON,"Drive capture of insights from data to suggest improvements / efficiencies to drive E-commerce results. Use data analysis to evaluate... Knowledge of LTV, CPO, CPL, CAC, Churn, end-to-end analytics. Optional advantages: Programming skills (Python, R) to be able..."
Data Engineer,https://vidnoe.hh.ru/vacancy/33534223?query=python, ЦИАН ГРУПП,"Исследовать данные в хранилище и готовить их для обработки. Строить отчетность по маркетплейсу, по поведению клиента в веб и в... Уверенное владение SQL. Базовые знания Python. Базовые знания HTML и CSS. Умение работать с библиотеками pandas, plotly. Умение работать с..."
Системный администратор Linux,https://vidnoe.hh.ru/vacancy/33692130?query=python, Синтерра Медиа,"Реализация и сопровождение проектов по вещанию видео и радио в интернет, а также техническая поддержка внутренних ИТ-сервисов компании. Чтение и редактирование скриптов на Bash или Python. Понимание стека протоколов TCP/IP и умение пользоваться iproute2, iptables, tcpdump..."
Главный аудитор по направлению ИТ,https://vidnoe.hh.ru/vacancy/34101518?query=python, РОСГОССТРАХ Банк,"Проведение аудиторских проверок в области информационных технологий и информационной безопасности. Оценка эффективности организации внутренних бизнес процессов, системы внутреннего контроля в... Знание SQL – обязательно, python – желательно. Понимание основных методологий положений и стандартов в области ИТ и ИБ ( ГОСТ Р 57580, СТО..."
Cистемный инженер Linux,https://vidnoe.hh.ru/vacancy/34085512?query=python, VIP CONTACT,"Выполнение заданий по администрированию ОС. Конфигурация систем мониторинга. Управление почтовыми службами и сервисами. Выявление и устранение неисправностей, коммуникация с 3... Желательно - владение языками сценариев автоматизации: bash, perl, python; опыт программирования, готовность выполнить тестовое задание во время собеседования. Навыки администрирования СУБД..."
Senior Data analyst,https://vidnoe.hh.ru/vacancy/33904150?query=python, Skyeng,"Проведение исследований по поведению преподавателей и студентов для поиска и подтверждения гипотез. Дизайн и анализ АБ тестов. Исследования изменений KPI.  Опыт работы не менее 3 лет на позиции аналитика. Уверенное знание SQL, Python/R. Способность делать ETL задачи. "
Data analyst (ML),https://vidnoe.hh.ru/vacancy/31575185?query=python, ЦИАН ГРУПП,"Анализировать работу сервисов ML. Перераспределять контент на более релевантные для нас объявления. Строить дашборды отчетностей. Анализировать логи сайта и найти... Знание SQL, Python (в частности библиотеки numpy, scipy, pandas). Знание принципов работы marketplace. Знание статистического анализа. Опыт работы с большим..."
Программист-разработчик,https://vidnoe.hh.ru/vacancy/34067997?query=python, Центр Митоинженерии МГУ им.М.В.Ломоносова,Поддержка Linux-сервисов (эпизодически). Участие в разработке WEB-приложений. Linux - уверенный пользователь (навыки настройки WEB сервисов). Опыт в разработке WEB-приложений. Умение и желание разбираться в новых технологиях.
Системный администратор Linux/Инженер технической поддержки,https://vidnoe.hh.ru/vacancy/33989465?query=python, ЛАЙФСТРИМ,"Обеспечение работы технической поддержки 2-ого уровня: Работа по заявкам в системе поддержки клиентов. Оперативное решение технических проблем самостоятельно или... Опыт ведения технической документации. Навык работы с командной строкой. Навык написания скриптов (sh/bash, python и т.д.)."
Руководитель отдела тестирования,https://vidnoe.hh.ru/vacancy/33880132?query=python,ООО Лаборатория визуализации-Сфера,"Внедрение автоматизации тестирования системы цифрового двойника. Интеграция разработанных тестов на сервер CI (сервер уже настроен). Настройка системы проверки качества кода... Умение создавать тестовую документацию. Знание одного из языков программирования (C#, Python, Java). Высшее образование. СУБД: MySQL, postgresql. Опыт работы с..."
Devops (Big data),https://vidnoe.hh.ru/vacancy/32680255?query=python, Mediascope,"Создание, эксплуатация различных сред от разработки до продакшена. в том числе в экосистеме hadoop. Разработка пайплайнов доставки, сборки и тестирования.  Знание ОС Linux на уровне системного администратора. Владение скриптовыми языками (bash, python). Опыт работы с системой контроля версий git. "
Инженер по автоматизированному тестированию (Python),https://vidnoe.hh.ru/vacancy/30738580?query=python, Аплана Софтвер,Разработка автоматизированных сценариев для Web и Gui части модуля SAP HR. Высшее техническое образование (будет являться преимуществом). Практический опыт автоматизации тестирования на языке python от 6 мес. Опыт работы с GitHub...
Android-разработчик,https://vidnoe.hh.ru/vacancy/33163450?query=python, Group-IB,"Разработка библиотеки SDK. Сбор аналитических данных для последующего анализа с целью защиты приложений пользователя. Поиск решений сложных, ранее не решённых... Опыт размещения собственного приложения в Google Play. Преимущества. Опыт разработки на других языках (например, C, C++, Java, Ruby, Python). "
Data engineer (SQL),https://vidnoe.hh.ru/vacancy/32093638?query=python, Mediascope,"Разработка и оптимизация потоков данных с использованием ETL инструмента. Поиск, извлечение и исследование данных в автоматизированных системах. Участие в проектировании... Знания в области Big Data (Hadoop, Spark, Hive, Kafka, etc). Знание java, scala или python. Нам достаточно одной личной встречи..."
Системный инженер Linux,https://vidnoe.hh.ru/vacancy/29323707?query=python, Новые Облачные Технологии,"Выполнение заданий по администрированию ОС. Конфигурация систем мониторинга. Управление почтовыми службами и сервисами. Выявление и устранение неисправностей, коммуникация с 3... Желательно - владение языками сценариев автоматизации: bash, perl, python; опыт программирования, готовность выполнить тестовое задание во время собеседования. Навыки администрирования СУБД..."
Системный инженер DevOps,https://vidnoe.hh.ru/vacancy/31713375?query=python, ТЕХНОСЕРВ,"Создавать и поддерживать отказоустойчивые и масштабируемые кластеры Kubernetes для заказчиков и для нужд внутренней разработки ПО. Создавать и поддерживать сопутствующие... Опыт работы с одним из языков BASH, Python, Ruby, Go. Опыт работы с инструментами CI/CD. Опыт работы с git. "
"Разработчик DWH, программист Oracle",https://vidnoe.hh.ru/vacancy/34009200?query=python,АО КИВИ БАНК,"Проектирование и разработка отчетности. Регулярная отчетность (запросы ЦБ, аудиторов, разработка стандартных форм). Аналитика. Построение специализированных витрин данных и отчетности для... ...трехзвенной архитектуры клиент – сервер. Будет плюсом опыт работы в банковской сфере (понимание банковских процессов). Здорово, если есть базовые знания Python."
